Genotype;Milieu;Plate;Id;PR length;Tortuosity;RootArea;LR length;Grouping;Plants/group;distanceFromHypocotyl std (cm);ShootArea;Chlorophyll (a.u)
Col_0;Milieu_1;Plate_1;A1_1;3.176;1.092;0.225;9.60;1;5;2.569;0.094;1.603
Col_0;Milieu_1;Plate_1;A1_2;1.525;1.085;0.055;1.00;2;1;0.000;0.017;0.264
Col_0;Milieu_1;Plate_1;A1_3;1.134;1.081;0.225;9.60;1;5;2.569;0.015;0.175
Col_0;Milieu_1;Plate_1;A1_4;0.816;1.030;0.016;0.00;4;1;0.000;0.017;0.183
Col_0;Milieu_1;Plate_1;A1_5;5.99;1.105;0.297;10.36;3;11;2.699;0.068;1.310
Col_0;Milieu_1;Plate_1;A1_6;6.638;1.064;0.297;10.36;3;11;2.699;0.083;1.605
Col_0;Milieu_1;Plate_1;A1_7;6.407;1.178;0.297;10.36;3;11;2.699;0.136;2.777
Col_0;Milieu_1;Plate_1;A1_8;4.743;1.087;0.297;10.36;3;11;2.699;0.146;2.896
Col_0;Milieu_1;Plate_1;A1_9;6.232;1.080;0.297;10.36;3;11;2.699;0.047;0.913
Col_0;Milieu_1;Plate_1;A1_10;7.076;1.120;0.396;18.00;6;1;1.905;0.131;2.601
Col_0;Milieu_1;Plate_1;A1_11;7.379;1.077;0.297;10.36;3;11;2.699;0.103;2.565
Col_0;Milieu_1;Plate_1;A1_12;10.335;1.117;0.297;10.36;3;11;2.699;0.078;2.207
Col_0;Milieu_1;Plate_1;A1_13;10.417;1.089;0.297;10.36;3;11;2.699;0.081;2.590
Col_0;Milieu_1;Plate_1;A1_14;11.232;1.154;0.297;10.36;3;11;2.699;0.191;5.549
Col_0;Milieu_1;Plate_1;A1_15;5.319;1.130;0.297;10.36;3;11;2.699;0.204;5.359
Col_0;Milieu_1;Plate_1;A1_16;10.171;1.142;0.297;10.36;3;11;2.699;0.116;3.348
Col_0;Milieu_1;Plate_1;A1_17;0.873;1.047;0.031;3.00;5;1;0.253;0.028;0.758
Col_0;Milieu_1;Plate_1;A1_18;10.206;1.079;0.225;9.60;1;5;2.569;0.250;5.416
Col_0;Milieu_1;Plate_1;A1_19;8.004;1.085;0.225;9.60;1;5;2.569;0.169;3.777
Col_0;Milieu_1;Plate_1;A1_20;3.832;1.089;0.225;9.60;1;5;2.569;0.041;1.194
Col_0;Milieu_1;Plate_2;A2_1;1.143;1.127;0.030;2.00;3;1;0.019;0.024;0.293
Col_0;Milieu_1;Plate_2;A2_2;6.391;1.078;0.315;14.00;1;2;2.381;0.163;2.571
Col_0;Milieu_1;Plate_2;A2_3;0.848;1.071;0.020;1.00;5;1;0.000;0.018;0.158
Col_0;Milieu_1;Plate_2;A2_4;2.461;1.074;0.191;6.00;6;5;2.571;0.025;0.389
Col_0;Milieu_1;Plate_2;A2_5;0.487;1.083;0.191;6.00;6;5;2.571;0.014;0.134
Col_0;Milieu_1;Plate_2;A2_6;7.081;1.082;0.290;13.00;8;1;1.673;0.072;1.296
Col_0;Milieu_1;Plate_2;A2_7;5.739;1.069;0.159;6.25;9;4;2.955;0.140;2.197
Col_0;Milieu_1;Plate_2;A2_8;0.761;1.087;0.159;6.25;9;4;2.955;0.018;0.223
Col_0;Milieu_1;Plate_2;A2_9;1.895;1.061;0.035;1.00;11;1;0.000;0.024;0.335
Col_0;Milieu_1;Plate_2;A2_10;10.62;1.110;0.159;6.25;9;4;2.955;0.185;3.078
Col_0;Milieu_1;Plate_2;A2_11;4.184;1.072;0.159;6.25;9;4;2.955;0.115;2.157
Col_0;Milieu_1;Plate_2;A2_12;2.664;1.079;0.055;1.00;10;1;0.000;0.024;0.392
Col_0;Milieu_1;Plate_2;A2_13;10.239;1.082;0.191;6.00;6;5;2.571;0.021;0.347
Col_0;Milieu_1;Plate_2;A2_14;4.371;1.083;0.191;6.00;6;5;2.571;0.130;2.059
Col_0;Milieu_1;Plate_2;A2_15;5.218;1.074;0.191;6.00;6;5;2.571;0.107;1.809
