Class ID;Definitions;decreased_in_magnitude_relative_to;functionally related to
http://purl.obolibrary.org/obo/PATO_0001481;A shape quality inhering in a bearer by virtue of the bearer's having an oblique or slanted direction.;;
http://purl.obolibrary.org/obo/PATO_0001317;A temperature which is increased by a high degree.;;
http://purl.obolibrary.org/obo/PATO_0001334;A length quality which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary.;;
http://purl.obolibrary.org/obo/PATO_0001951;A spatial pattern inhering in a bearer by virtue of the bearer's being in opposition round a common axis.;;
http://purl.obolibrary.org/obo/PATO_0002172;A shape quality inhering in a bearer by virtue of the bearer's being split along the radial axis.;;
http://purl.obolibrary.org/obo/PATO_0002155;A rotation quality inhering in a bearer by virtue of being rotated towards the middle of an organism.;;
http://purl.obolibrary.org/obo/PATO_0002138;A physical quality inhering in a bearer by virtue of the bearer's disposition to being fit to be eaten.;;
http://purl.obolibrary.org/obo/PATO_0001711;An 1-D extent quality inhering in two-dimensional bearer by virtue of being equal to the distance around it.;;
http://purl.obolibrary.org/obo/PATO_0002248;A degree of pigmentation quality inhering in a bearer by virtue of the bearer's having substances produced by living organisms that have a color resulting from selective color absorption.;;
http://purl.obolibrary.org/obo/PATO_0001821;A structural quality inhering in a bearer by virtue of the bearer's having no opening.;;
http://purl.obolibrary.org/obo/PATO_0001804;A texture quality inhering in a bearer by virtue of the bearer's being covered or partially covered with scales.;;
http://purl.obolibrary.org/obo/PATO_0002282;A mobility which is relative high.;;
http://purl.obolibrary.org/obo/PATO_0002265;A behavioral quality of a process inhering in a bearer by virtue of the bearer's disposition to exhibit marked activity.;;
http://purl.obolibrary.org/obo/PATO_0001931;A quality inhering in a bearer by virtue of the bearer's lacking or not exhibiting variation of shape.;;
http://purl.obolibrary.org/obo/PATO_0000642;A structural quality inhering in a bearer by virtue of the bearer's being merged with another entity.;;
http://purl.obolibrary.org/obo/PATO_0001573;A symmetry quality inhering in a bearer by virtue of the bearer's having equal dimensions or measurements.;;
http://purl.obolibrary.org/obo/PATO_0001683;A magnetism which is relatively high.;;
http://purl.obolibrary.org/obo/PATO_0002008;A complete three dimensional shape in which there is a line connecting pair of points on the object that lies outside the object. Or: a shape with cavities. Contrast: concave.;;
http://purl.obolibrary.org/obo/PATO_0000757;A balance quality inhering in a bearer by virtue of the bearer's having balance.;;
http://purl.obolibrary.org/obo/PATO_0000440;A pattern quality inhering in a bearer by virtue of the bearer's having a repeatable or predictable placement.;;
http://purl.obolibrary.org/obo/PATO_0000423;A nutritional quality inhering in a bearer by virtue of the bearer's ability to synthesize a particular organic compound required for its growth.;;
http://purl.obolibrary.org/obo/PATO_0002247;A quality inhering in a bearer by virtue of the bearer's having or lacking of substances produced by living organisms that have a color resulting from selective color absorption.;;
