Class ID;Definitions;database_cross_reference;functionally related to
http://purl.obolibrary.org/obo/PO_0001380;Stage of calyx development that begins when the sepals enclose the floral bud.;;
http://purl.obolibrary.org/obo/PO_0007504;The stage at which the initial cells of crown root primordium are formed in the innermost ground meristem cells by one or two periclinal divisions.|Crown root primordia formed endogenously opposite the collateral bundles in maize.;;
http://purl.obolibrary.org/obo/PO_0025473;A portion of reaction wood (PO:0025472) found on the lower side of a shoot axis (PO:0025029) that is or was angled away from vertical and that has as parts heavily lignified tracheids (PO:0000301) with a specialized S2 layer that contains more lignin and has a larger (more horizontal) microfibril angle.|Develops as a response to gravity (compression) and may function in restoring a stem (PO:0009047) or branch (PO:0025073) that is leaning to its original position. Found in gymnosperms.;;
http://purl.obolibrary.org/obo/PO_0007525;The stage at which distinct tissues become organized.;;
http://purl.obolibrary.org/obo/PO_0007112;The stage at which vegetative structures are being produced by SAM.|In monocots each leaf stage is defined according to the uppermost leaf whose collar is visible (Handbook of plant and crop physiology).;;
http://purl.obolibrary.org/obo/CARO_0001010;;;
http://purl.obolibrary.org/obo/PO_0025474;A portion of reaction wood (PO:0025472) found on the upper side of a shoot axis (PO:0025029) that is or was angled away from vertical and that has as parts gelatinous fiber cells (PO:0025422).|Develops as a response to gravity (tension) and may function in restoring a stem (PO:0009047) or branch (PO:0025073) that is leaning to its original position. Found in angiosperms. Secondary xylem tracheary elements (PO:0025445) in tension wood are often longer than the tracheary elements in non-tension wood of the same plant. The gelatinous fiber cells found in reaction wood have a cell wall inner layer (G layer) that contains abundant cellulose and is poor in lignin.;;
http://purl.obolibrary.org/obo/PO_0007080;The stage at which main shoot and axillary shoots at three nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0025574;A vascular leaf development stage (PO:0025570) that begins with the formation of procambium (PO:0025275) and protoderm (PO:0006210) and ends with the formation and differentiation of the leaf epidermis (PO:0006016) and leaf vascular system (PO:0000036) and all the specialized cells of the vascular leaf.;;
http://purl.obolibrary.org/obo/PO_0030089;A shoot-borne root (PO:0000042) that is sclerified and pointed.|Shoot-borne root spines cannot grow indeterminately or supply the plant with water and solutes. See PO_REF:00015 for documentation of shoot-borne root spines in Acanthorhiza aculeata (Arecaceae).;;
http://purl.obolibrary.org/obo/NCBITaxon_33090;;;
http://purl.obolibrary.org/obo/PO_0007019;The first awns are visible and the flag leaf sheath has opened.|Awns will be visible only in those species and varieties where they are known to be present. Booting is a term used specifically for grasses (Poaceae).;;
http://purl.obolibrary.org/obo/PO_0025527;A collective plant organ structure development stage (PO:0025338) that begins with the onset of the plant organ development stage (PO:0025339) and ends with either gametophyte senescent stage (PO:0025343) or sporophyte senescent stage (PO:0007017) or death.|The shoot system (PO:0009006) develops fron the shoot apical meristem (PO:0020148) in the plant embryo (PO:0009009) in vascular plants.  In lower plants the gametophore (PO:0030018) arises from a gametophore meristematic apical cell (PO:0030019) in the protonema (PO:0030003).;;
http://purl.obolibrary.org/obo/PO_0001051;A vascular leaf development stage (PO:0025570) which begins with the onset of the vascular leaf anlagen formation stage (PO:0001003) and ends with the termination of the vascular leaf primordium polarity determination stage (PO:0001052).|Localized cell divisions in the peripheral zone (PO:0000225) transition from anticlinal to periclinal divisions.;;
http://purl.obolibrary.org/obo/CARO_0030000;;;
http://purl.obolibrary.org/obo/PO_0001013;Stage of microgametophyte development during which a large vacuole is formed in each microspore causing a rapid increase in size and a displacement of the nucleus to one side.;;
http://purl.obolibrary.org/obo/PO_0001097;A sporophyte development stage (PO:0007134) that occurs during the interval between fertilization and the first cell division of the plant zygote (PO:0000423).|Precedes the sporophyte vegetative stage (PO:0007134). Refers to the GO biological process term fertilization (GO:0009566).;;
http://purl.obolibrary.org/obo/PO_0007509;The stage at which the root vascular cylinder becomes evident.|The first identifiable region in the differentiating vascular cylinder is the pericycle. In the xylem the differentiation of the tracheary elements begins in a centrifugal direction but is completed in the centripetal direction. The first phloem elements mature before the first xylem elements.;;
http://purl.obolibrary.org/obo/PO_0001052;A vascular leaf development stage (PO:0025570) during which vascular leaf size increases primarily through cell expansion.|During this stage leaf shaping (GO:0010358) occurs which is defined as the developmental process that pertains to the organization of a leaf in three-dimensional space once the structure has initially formed.;;
http://purl.obolibrary.org/obo/PO_0007073;The stage at which the axillary shoots are forming.;;
http://purl.obolibrary.org/obo/NCBITaxon_35493;;;
http://purl.obolibrary.org/obo/PO_0007510;The stage at which the fully formed root emerges.;;
http://purl.obolibrary.org/obo/PO_0004501;Stage of gynoecium development defined by differentiation and expansion of carpels.;;
http://purl.obolibrary.org/obo/PO_0025612;A portion of shoot axis cortex (PO:0000223) that is part of a stem (PO:0009047).;;
http://purl.obolibrary.org/obo/PO_0007056;Trichome initiation stage that determine numbers of trichome are formed.;;
http://purl.obolibrary.org/obo/PO_0001378;Stage of calyx development that begins when the developing sepals enclose the floral meristem.;;
http://purl.obolibrary.org/obo/PO_0025533;A native plant cell (PO:0025606) which is vegetative and develops from the division of the microspore (PO:0020048) of vascular plants other than angiosperms.|The prothallial cell (PO:0025533) is part of the microgametophyte (PO:0025280) and is believed to be the remnant of the vegetative tissue of the male gametophyte.;;
http://purl.obolibrary.org/obo/PO_0001045;Stage of calyx development when sepal is fully expanded.;;
http://purl.obolibrary.org/obo/PO_0007622;Stage of ovule development that begins when the integument primordia are visible.;;
http://purl.obolibrary.org/obo/PO_0007018;The flag leaf sheath has started to extend.|In rice the flag leaf sheath is 5cm out of the penultimate leaf sheath. Upper part of the stem is slightly thickened. Booting is a term used specifically for grasses (Poaceae).;;
http://purl.obolibrary.org/obo/PO_0025526;A spermatogenous cell (PO:0025525) of the microgametophyte (PO:0025280) that divides to produce a vegetative cell (PO:0020099) and the pollen sperm cell (PO:0025121).|Occurs in gymnosperms.;;
http://purl.obolibrary.org/obo/PO_0007110;The stage at which main shoot and axillary shoots at nine nodes or more are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0001035;Stage during which the dehiscence of anthers occurs. Anther breaks along stomium and pollen is released.;;
http://purl.obolibrary.org/obo/PO_0025623;A first order infructescence axis (PO:0025244) in an ear infructescence (PO:0025597) that bears kernels (i.e. caryopsis fruit; PO:0030104).;;
http://purl.obolibrary.org/obo/PO_0028004;A shoot axis apex (PO:0000037) that is part of a branch (PO:0025073).;;
http://purl.obolibrary.org/obo/PO_0001056;Stage of lemma development defined by differentiation and expansion of lemma.;;
http://purl.obolibrary.org/obo/PO_0007629;The stage of megagametophyte development when there are eight nuclei.|Some plants do not form an eight nucleate megametophyte.;;
http://purl.obolibrary.org/obo/PO_0007003;An inflorescence detectable phase during which an inflorescence has reached at its full length.|This phase can only be used if the final length of the inflorescence is known.;;
http://purl.obolibrary.org/obo/PO_0001049;A phyllome development stage (PO:0025579) that has as a primary participant a lodicule (PO:0009036).;;
http://purl.obolibrary.org/obo/PO_0001018;Stage during which the primary parietal and primary sporogenous layers are derived from archesporial cells.;;
http://purl.obolibrary.org/obo/PO_0025617;A portion of carpel epidermis (PO:0025096) that covers the abaxial surface of a carpel (PO:0009030).|The abaxial surface is the one which is furthest from the plant axis.;;
http://purl.obolibrary.org/obo/PO_0030088;A lateral root (PO:0020121) that is sclerified and pointed.|Lateral root spines cannot grow indeterminately or supply the plant with water and solutes. See JSTOR:43235457 for documentation of lateral root spines in Dioscorea prehensilis (Dioscoreaceae) and Moraea sp. (Iridaceae).;;
http://purl.obolibrary.org/obo/GO_0016740;;;
http://purl.obolibrary.org/obo/BFO_0000040;An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.;;
http://purl.obolibrary.org/obo/NCBITaxon_2759;;;
http://purl.obolibrary.org/obo/PO_0001050;A phyllome development stage (PO:0025579) during which the development of vascular leaves (PO:0009025) and non-vascular leaves (PO:0025075) occurs.;;
http://purl.obolibrary.org/obo/BFO_0000006;;;
http://purl.obolibrary.org/obo/PO_0001048;A phyllome development stage (PO:0025579) that has as a primary participant a palea (PO:0009038).;;
http://purl.obolibrary.org/obo/PO_0007039;A trichome development stage that has as primary participant a leaf trichome.;;
http://purl.obolibrary.org/obo/NCBITaxon_78536;;;
http://purl.obolibrary.org/obo/PO_0025602;A gametophyte development stage (PO:0028003) during which a microgametophyte (PO:0025280) develops.;;
http://purl.obolibrary.org/obo/PO_0001071;Stage of palea development when palea is fully expanded.;;
http://purl.obolibrary.org/obo/PO_0025532;A shoot system development stage (PO:0025527) during which a shoot system (PO:0009006) emerges from the bud (PO:0009006).;;
http://purl.obolibrary.org/obo/PO_0001072;Stage of lodicule development that begins when the lodicule primordia arise.|Two lodicules form on the side of the lemma in rice spikelet.;;
http://purl.obolibrary.org/obo/PO_0025598;An inflorescence (PO:0009049) that includes as part only pistillate flowers (PO:0025599).;;
http://purl.obolibrary.org/obo/PO_0007093;The stage at which main shoot and axillary shoots at five nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0025590;A portion of pith (PO:0006109) that is part of a receptacle (PO:0009064).;;
http://purl.obolibrary.org/obo/PO_0025622;A primary xylem vessel member (PO:0025448) that is part of the metaxylem (PO:0000372).;;
http://purl.obolibrary.org/obo/PO_0025531;A bud development stage (PO:0025528) during which a bud (PO:0009006) enlarges due to growth of the shoot system (PO:0009006).;;
http://purl.obolibrary.org/obo/NCBITaxon_3398;;;
http://purl.obolibrary.org/obo/PO_0001055;Stage of lemma development that begins when the lemma primordia arise.|The lemma primordium forms in 1/2 alternate phylotaxy in rice spikelet.;;
http://purl.obolibrary.org/obo/PO_0007008;The stage at which 1/2 of inflorescence has emerged from flag leaf sheath.;;
http://purl.obolibrary.org/obo/PO_0007620;Stage of ovule development that begins when the ovule primordia arise.;;
http://purl.obolibrary.org/obo/PO_0001040;A seed development stage (PO:0001170) during which the mature seed reaches a low moisture content.;;
http://purl.obolibrary.org/obo/PO_0007077;The stage at which main shoot and axillary shoots at eight nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0001041;The initial stage of endosperm development during which the chalazal and micropilar domains are established.;;
http://purl.obolibrary.org/obo/PO_0025601;An inflorescence (PO:0009049) that includes as part only staminate flowers (PO:0025600).;;
http://purl.obolibrary.org/obo/PO_0007030;Shoot or leaf breaks through soil surface.;;
http://purl.obolibrary.org/obo/PO_0004505;The earliest stage of seed development immediately following double fertilization.;;
http://purl.obolibrary.org/obo/PO_0007023;The stage at which the inflorescence has fully emerged from the flag leaf sheath.;;
http://purl.obolibrary.org/obo/PO_0001024;A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf sheath (PO:0020104) occurs.|Occurs in the Poaceae.;;
http://purl.obolibrary.org/obo/PO_0007625;The product of meiosis of the megaspore mother cell.;;
http://purl.obolibrary.org/obo/PO_0025529;A bud development stage (PO:0025528) during which a bud (PO:0009006) participates in a bud dormancy process (GO:0097207).;;
http://purl.obolibrary.org/obo/PO_0004500;A vascular leaf expansion stage (PO:0001052) at which a leaflet primordium (PO:0025481) is initiated on the leaf rachis (PO:0020055) of a compound leaf (PO:0020043).;;
http://purl.obolibrary.org/obo/PO_0007618;Stage of gynoecium development that begins when the carpel primordia arise.;;
http://purl.obolibrary.org/obo/NCBITaxon_3193;;;
http://purl.obolibrary.org/obo/PO_0007518;The stage at which the crown root emerges.|Crown root stages are based on rice plant.;;
http://purl.obolibrary.org/obo/PO_0001023;A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf lamina (PO:0020039) occurs.;;
http://purl.obolibrary.org/obo/PO_0025528;A shoot system development stage (PO:0025527) that has as primary participant a bud (PO:0009006).;;
http://purl.obolibrary.org/obo/PO_0007059;The stage trichome develops branches.;;
http://purl.obolibrary.org/obo/PO_0025620;A primary xylem vessel (PO:0025450) which is part of the metaxylem (PO:0000372).|Metaxylem vessels are composed of metaxylem vessel members (elements; PO:0025622).;;
http://purl.obolibrary.org/obo/PO_0007135;The stage involved in the directionality of expansion growth.;;
http://purl.obolibrary.org/obo/PO_0001053;A vascular leaf development stage (PO:0025570) that begins when the vascular leaf (PO:0009025) is fully expanded and ends with the onset of the vascular leaf senescence stage (PO:0001054).;;
http://purl.obolibrary.org/obo/PO_0025605;An abscission zone (PO:0000146) that forms as a swelling or joint on a fruit pedicel (PO:0030114).;;
http://purl.obolibrary.org/obo/PO_0007604;A collective phyllome structure development stage (PO:0025578) that has as a primary participant a corolla (PO:0009059).;;
http://purl.obolibrary.org/obo/PO_0025621;A primary xylem tracheid (PO:0025446) that is part of the metaxylem (PO:0000372).;;
http://purl.obolibrary.org/obo/PO_0001054;A vascular leaf development stage (PO:0025570) that begins with the formation of a abscission zone at the base of a vascular leaf (PO:0009025) and ends with leaf separation and death.;;
http://purl.obolibrary.org/obo/PO_0004504;Stage of ovule development defined by differentiation and expansion of ovules.;;
http://purl.obolibrary.org/obo/PO_0025573;A leaf development stage (PO:0001050) that has as a primary participant a non-vascular leaf (PO:0025075).;;
