Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,acts upstream of,acts upstream of or within,"acts upstream of or within, negative effect","acts upstream of or within, positive effect","acts upstream of, negative effect","acts upstream of, positive effect",adjacent_to,capable of,capable of negatively regulating,capable of part of,capable of positively regulating,capable of regulating,causal agent in process,causal relation between entities,causal relation between material entity and a process,causal relation between processes,causally downstream of,causally downstream of or within,causally influenced by,causally influences,causally related to,causally upstream of,causally upstream of or within,"causally upstream of or within, negative effect","causally upstream of or within, positive effect","causally upstream of, negative effect","causally upstream of, positive effect",consider,contained in,contains,contains process,database_cross_reference,definition,derives_by_manipulation_from,developmentally contributes to,developmentally preceded by,developmentally related to,developmentally succeeded by,develops from,develops into,directly negatively regulated by,directly negatively regulates,directly negatively regulates activity of,directly positively regulated by,directly positively regulates,directly positively regulates activity of,directly regulated by,directly regulates,directly regulates activity of,editor note,enabled by,enables,enables subfunction,ends after,evolutionarily related to,functionally related to,German synonym (exact),has component,has component activity,has component process,has developmental contribution from,has developmental potential involving,has effector activity,has input,has negative regulatory component activity,has part,has part structure that is capable of,has part that occurs in,has participant,has positive regulatory component activity,has potential to develop into,has potential to developmentally contribute to,has potential to directly develop into,has regulatory component activity,has_alternative_id,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,has_scope,has_synonym_type,helper property (not for use in curation),http://data.bioontology.org/metadata/obo/develops_from,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://omv.ontoware.org/2005/05/ontology#useImports,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000112,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000117,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000231,http://purl.obolibrary.org/obo/IAO_0000412,http://purl.obolibrary.org/obo/IAO_0000589,http://purl.obolibrary.org/obo/po#Angiosperm,http://purl.obolibrary.org/obo/po#Arabidopsis,http://purl.obolibrary.org/obo/po#Bryophytes,http://purl.obolibrary.org/obo/po#Citrus,http://purl.obolibrary.org/obo/po#CL,http://purl.obolibrary.org/obo/po#Gymnosperms,http://purl.obolibrary.org/obo/po#Maize,http://purl.obolibrary.org/obo/po#Musa,http://purl.obolibrary.org/obo/po#Poaceae,http://purl.obolibrary.org/obo/po#Potato,http://purl.obolibrary.org/obo/po#Pteridophytes,http://purl.obolibrary.org/obo/po#reference,http://purl.obolibrary.org/obo/po#Rice,http://purl.obolibrary.org/obo/po#Tomato,http://purl.obolibrary.org/obo/po#TraitNet,http://purl.obolibrary.org/obo/RO_0001900,http://purl.org/dc/elements/1.1/source,http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.geneontology.org/formats/oboInOwl#source,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,immediately causally downstream of,immediately causally upstream of,immediately preceded by,immediately precedes,in taxon,in_subset,input of,interaction relation helper property,interacts with,involved in,involved in negative regulation of,involved in or involved in regulation of,involved in positive regulation of,involved in regulation of,is a defining property chain axiom,is a defining property chain axiom where second argument is reflexive,is active in,is kinase activity,isolated from germplasm,Japanese synonym (exact),located_in,location of,mereotopologically related to,molecular interaction relation helper property,molecularly interacts with,negatively regulated by,negatively regulates,occurs in,only in taxon,overlaps,part of,part of structure that is capable of,participates in,phosphorylates,Plural,positively regulated by,positively regulates,preceded by,precedes,process has causal agent,regulated by,regulates,regulates activity of,shorthand,Spanish synonym (exact),spatially coextensive with,spatially disjoint from,subset_property,synonym_type_property,temporally related to,term replaced by,treat-xrefs-as-genus-differentia,treat-xrefs-as-is_a
http://purl.obolibrary.org/obo/PO_0025002,basal root,"adventitious root (broad)|ra&#237z basal (Spanish, exact)|下胚軸由来の根、不定根 (Japanese, exact)",A shoot-borne internode root (PO:0025593) that arises from a part of the hypocotyl (PO:0020100).,false,,,http://purl.obolibrary.org/obo/PO_0025593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:162,A shoot-borne internode root (PO:0025593) that arises from a part of the hypocotyl (PO:0020100).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adventitious root (broad),"ra&#237z basal (Spanish, exact)|下胚軸由来の根、不定根 (Japanese, exact)",,,plant_anatomy,,,,,http://purl.obolibrary.org/obo/PO_0025479,,,http://purl.obolibrary.org/obo/PO_0025479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwalls,2010-09-16T03:03:49Z,,PO:0025002,,,,basal root,,PO:0025002,,,,,,http://purl.obolibrary.org/obo/po#TraitNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0025374,seed dormant stage,"種子休眠期 (Japanese, exact)|etapa latente de la semilla (Spanish, exact)","A seed development stage (PO:0001170) during which a seed (PO:0009010) participates in a seed dormancy process (GO:0010162).|A seed dormancy process (GO:0010162) is a dormancy process in which dormancy (sometimes called a dormant state) is induced, maintained or broken in a seed. Seed dormancy is a suspension of most physiological activity and growth in a seed, including the embryo contained therein, that can be reactivated. It often requires special conditions for reactivation, such as specific temperature, scarification, or leaching of inhibitors. Seed dormancy includes dormancy of the embryo and the seed coat, although
these may not begin or end simultaneously. Not all seeds go through a seed dormant stage. Most seeds that go through a dormant stage do so only one time.",false,,,http://purl.obolibrary.org/obo/BFO_0000003|http://purl.obolibrary.org/obo/PO_0001170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:568|PO_GIT:424,A seed development stage (PO:0001170) during which a seed (PO:0009010) participates in a seed dormancy process (GO:0010162).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/PO_0025377,,,,,,,,,,,"種子休眠期 (Japanese, exact)|etapa latente de la semilla (Spanish, exact)",,,plant_structure_development_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwalls,2012-01-05T10:29:43Z,,PO:0025374,,,"A seed dormancy process (GO:0010162) is a dormancy process in which dormancy (sometimes called a dormant state) is induced, maintained or broken in a seed. Seed dormancy is a suspension of most physiological activity and growth in a seed, including the embryo contained therein, that can be reactivated. It often requires special conditions for reactivation, such as specific temperature, scarification, or leaching of inhibitors. Seed dormancy includes dormancy of the embryo and the seed coat, although
these may not begin or end simultaneously. Not all seeds go through a seed dormant stage. Most seeds that go through a dormant stage do so only one time.",seed dormant stage,,PO:0025374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/PO_0001040,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0025235,leaf stomatal pore,"poro estom&#225tico de la hoja (Spanish, exact)|葉気孔開口部 (Japanese, exact)","A phyllome stomatal pore that is part of a leaf stomatal complex.|If you are annotating to this term, please add an additional annotation to vascular leaf (PO:0009025) or non-vascular leaf (PO:0025075), depending on the species. All annotations for angiosperms, gymnosperms, and pteridophytes should go to vascular leaf and all annotations for bryophytes should go to non-vascular leaf.",false,,,http://purl.obolibrary.org/obo/PO_0025234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A phyllome stomatal pore that is part of a leaf stomatal complex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"poro estom&#225tico de la hoja (Spanish, exact)|葉気孔開口部 (Japanese, exact)",,,plant_anatomy,,,,,,http://purl.obolibrary.org/obo/PO_0025183,,http://purl.obolibrary.org/obo/PO_0025183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwalls,2010-12-29T01:38:03Z,,PO:0025235,,,"If you are annotating to this term, please add an additional annotation to vascular leaf (PO:0009025) or non-vascular leaf (PO:0025075), depending on the species. All annotations for angiosperms, gymnosperms, and pteridophytes should go to vascular leaf and all annotations for bryophytes should go to non-vascular leaf.",leaf stomatal pore,,PO:0025235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0000043,crown root,"adventitious root  (broad)|冠根 (Japanese, exact)|ra&#237z en corona (Spanish, exact)",A shoot-borne nodal root (PO:0003005) formed at a stem base (PO:0008039).,false,,,http://purl.obolibrary.org/obo/PO_0003005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:163,A shoot-borne nodal root (PO:0003005) formed at a stem base (PO:0008039).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adventitious root  (broad),"冠根 (Japanese, exact)|ra&#237z en corona (Spanish, exact)",,,plant_anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO:0000043,,,,crown root,,PO:0000043,,,,,,http://purl.obolibrary.org/obo/po#reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0025579,phyllome development stage,"estado de desarrollo del filoma (Spanish, exact)",A plant organ development stage (PO:0025339) that has a primary participant a phyllome (PO:0025023).,false,,,http://purl.obolibrary.org/obo/PO_0025339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:548,A plant organ development stage (PO:0025339) that has a primary participant a phyllome (PO:0025023).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"estado de desarrollo del filoma (Spanish, exact)",,,plant_structure_development_stage,,,,,,http://purl.obolibrary.org/obo/PO_0025527,,http://purl.obolibrary.org/obo/PO_0025527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moorel,2013-06-19T13:44:31Z,,PO:0025579,,,,phyllome development stage,,PO:0025579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0006431,PO_0006431,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO:0006431,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/PO_0009037,,
http://purl.obolibrary.org/obo/PO_0006467,PO_0006467,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO:0006467,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/PO_0020001,,
http://purl.obolibrary.org/obo/PO_0025207,tepal vascular system,"花被片維管系 (Japanese, exact)|sistema vascular del t&#233palo (Spanish, exact)",A phyllome vascular system (PO:0025206) that includes the totality of the portions of vascular tissue in their specific arrangement in a tepal (PO:0009033).,false,,,http://purl.obolibrary.org/obo/PO_0025206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:41,A phyllome vascular system (PO:0025206) that includes the totality of the portions of vascular tissue in their specific arrangement in a tepal (PO:0009033).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"花被片維管系 (Japanese, exact)|sistema vascular del t&#233palo (Spanish, exact)",,,plant_anatomy,,,,,,http://purl.obolibrary.org/obo/PO_0009033|http://purl.obolibrary.org/obo/PO_0005017,,http://purl.obolibrary.org/obo/PO_0009033|http://purl.obolibrary.org/obo/PO_0005017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwalls,2010-12-17T10:28:52Z,,PO:0025207,,,,tepal vascular system,,PO:0025207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0001015,K second mitotic division stage,tricellular pollen stage (exact)|tricellular pollen development stage (exact)|stamen stage ST6-4 (related)|pollen stage 9 in Arabidopsis (related),"A pollen development stage (PO:0001007) during which the generative cell (PO:0020097) undergoes mitotic division to form two male gametes, the pollen sperm cells (PO:0025121).|In taxa with mature two-celled pollen (PO:0025281), the second mitotic division takes place after pollen germination (GO:0009846), in the germinating pollen tube cell (PO:0025195). Note: This term overlaps with the GO BP term: generative cell mitosis (GO:0055047): The process in which the generative cell divides by mitosis to form two haploid cells. These will subsequently differentiate into sperm cells.",false,,,http://purl.obolibrary.org/obo/PO_0001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:509,"A pollen development stage (PO:0001007) during which the generative cell (PO:0020097) undergoes mitotic division to form two male gametes, the pollen sperm cells (PO:0025121).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tricellular pollen stage (exact)|tricellular pollen development stage (exact),,,plant_structure_development_stage,stamen stage ST6-4 (related)|pollen stage 9 in Arabidopsis (related),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO:0001015,,,"In taxa with mature two-celled pollen (PO:0025281), the second mitotic division takes place after pollen germination (GO:0009846), in the germinating pollen tube cell (PO:0025195). Note: This term overlaps with the GO BP term: generative cell mitosis (GO:0055047): The process in which the generative cell divides by mitosis to form two haploid cells. These will subsequently differentiate into sperm cells.",K second mitotic division stage,,PO:0001015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PO_0025543,tapetum cell,"c&#233lula del tapete (Spanish, exact)|tapetal cell (exact)|タペート細胞 (Japanese, exact)",A native plant cell (PO:0025606) that is part of the tapetum (PO:0025313).|The tapetum is the inner-most layer of a sporangium wall (PO:0025306).,false,,,http://purl.obolibrary.org/obo/PO_0025606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO_GIT:531,A native plant cell (PO:0025606) that is part of the tapetum (PO:0025313).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c&#233lula del tapete (Spanish, exact)|tapetal cell (exact)|タペート細胞 (Japanese, exact)",,,plant_anatomy,,,,,,http://purl.obolibrary.org/obo/PO_0025313,,http://purl.obolibrary.org/obo/PO_0025313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurel_Cooper,2013-04-08T13:58:47Z,,PO:0025543,,,The tapetum is the inner-most layer of a sporangium wall (PO:0025306).,tapetum cell,,PO:0025543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
